realtitle,program_type,program_genre,network,program_description,first_air_year,last_air_year,genre,plot,trivia,program_title,movie_id,kind_id,title
13 Demon Street,,,,,,,,,,,8305,2,13 Demon Street
13th Hour,,,,,,,,,,,9296,2,13th Hour
1947 World Series,,,,,,,,,,,10916,2,1947 World Series
1948 World Series,,,,,,,,,,,10924,2,1948 World Series
1949 World Series,,,,,,,,,,,10931,2,1949 World Series
1950 World Series,,,,,,,,,,,10938,2,1950 World Series
1951 World Series,,,,,,,,,,,10943,2,1951 World Series
1952 World Series,,,,,,,,,,,10950,2,1952 World Series
1953 World Series,,,,,,,,,,,10958,2,1953 World Series
1954 World Series,,,,,,,,,,,10965,2,1954 World Series
1955 World Series,,,,,,,,,,,10970,2,1955 World Series
1956 World Series,,,,,,,,,,,10978,2,1956 World Series
1957 World Series,,,,,,,,,,,10986,2,1957 World Series
1958 World Series,,,,,,,,,,,10994,2,1958 World Series
1959 World Series,,,,,,,,,,,11002,2,1959 World Series
20 Questions,,,,,,,,,,,14124,2,20 Questions
 Twenty One. ,Series, Game, NBC," Two contestants are placed in separate isolation booths. The object calls for players to answer questions and score exactly twenty-one points. Players, who have no control over the categories from which questions are drawn, select a question basedon its point value (one to eleven; the higher the point value, the more difficult it is). The first player to score twenty-one is the champion and receives $500 per point difference between his score and his opponent's score. Host: Jack Barry. Announcer: Bill McCord. ",1956,1958,[None 'Drama'],"[None
 'Private investigator Dennis Chase operates with a staff made up of the stunning Lola, new attorney Brian, and talented linguist Jim. Using specific methods they determine the guilty party and leave the rest to the police of an unnamed city.']","['""21 Beacon Street"" was the address of Dennis Chase\'s office.'
 'Sponsored by Kent cigarettes.' None]", Twenty One. ,16535,2,21 Beacon Street
 21 Beacon Street. ,Series, Crime Drama, NBC," The David Chase Detective Agency is a sophisticated organization located at 21 Beacon Street in Boston. It is run by David Chase; he is assisted by Lola, Brian and Jim. David is a former World War II intelligence officer for the O.S.S. (Office of Strategic Services) who now uses his skills in the private sector to help people in trouble. He tackles each case as if it were a military operation. Elaborate cons are established to outwit confidence men; complex stings are set up to bring criminals to justice; and well-calculated maneuvers are used to help the police nab killers. While David actively participates in each caper, he also oversees its operations and demands that each of his operatives follow strict protocol. Once a case has been established, the program becomes a ""Mission: Impossible""-type of series with the team executing complex maneuvers to accomplish their goal. Viewing requires strict attention to follow the plot. While the Chase team works for the public, the police and the Gravestake Insurance Company, it appears they are only hired because they are the last hope anyone has. Once a case has been accepted, the program details the step-by-step planning, its execution and the apprehension of the sought culprit. Lola, also called Jo, is a former chorus girl (Broadway and Las Vegas) who uses her skills (her beauty) for distraction. Brian and Jim are experts at disguises and knowledgeable in the art of cons. Dave Kahn composed the theme ""21 Beacon Street."" Cast: Dennis Morgan {David Chase), Joanna Barnes {Lola), Brian Kelly {Brian), James Maloney {Jim). ",1959,1960,[None 'Drama'],"[None
 'Private investigator Dennis Chase operates with a staff made up of the stunning Lola, new attorney Brian, and talented linguist Jim. Using specific methods they determine the guilty party and leave the rest to the police of an unnamed city.']","['""21 Beacon Street"" was the address of Dennis Chase\'s office.'
 'Sponsored by Kent cigarettes.' None]", 21 Beacon Street. ,16535,2,21 Beacon Street
 26 Men. ,Series, Western, Syn.," ""Saddle up, saddle up, saddle up. This is the story of Twenty-Six Men who rode the Arizona Territory. Praise beat the glory of Twenty-Six Men whose courage helped to build the territory.... Ride on, ride on, ride on...."" The Arizona Territory during the early  1900s is the setting for tales of the Arizona Rangers, men, limited to law to twenty-six, as they dispense justice in the final days of the Old West. Their stories are seen through the eyes of Captain Tom Rynning and his aide, Clint Travis, who most often go undercover to achieve results. Based on the official files of the Arizona Rangers. Cast: Tris Coffin {Captain Tom Rynning), Kelo Henderson {Ranger Clint Travis). Theme: ""26 Men"" by Hal Hopper, Russell Hayden. ",1957,,[None 'Western'],[None],"[""'Lane Bradford' (qv), who usually played heavies in westerns, was up for the role of Capt. Tom Rynning, but it was eventually given to 'Tristram Coffin' (qv).""
 'Sponsored by Standard Oil company (Esso).' None]", 26 Men. ,18439,2,26 Men
 77 Sunset Strip. ,Series, Crime Drama, ABC," Bailey and Spencer, Private Investigators is a detective agency located at 77 Sunset Strip in Hollywood, California. Stuart Bailey and Jeff Spencer head the agency. They are assisted by Rex Randolph, Gerald Lloyd Kookson III and Suzanne Fabray. Stuart, called Stu, occupies office 101. He was a former OSS (Office of Strategic Services) agent and now lives in Apartment 301 at the Sunset DeViUa. Stu is a bit reluctant to use force and relies on his intelligence training to accomplish his goals during a case. Jeff occupies office 102. He reads Playboy magazine (surprisingly ""not for the articles"") and $50 is the top price he pays a snitch for information. Jeff and Stu have an eye for the ladies, and girls often tell Jeff ""You're too cute to be a snoop."" Jeff is more adept at physical heroics than Stu, whom he sometimes calls""The Professor"" for his intelligence and ability to speak several languages. Gerald Lloyd Kookson III, better known as Kookie, is the parking lot attendant at Dino's Lodge, the supper club next to 77 Sunset Strip. Kookie lives at 18026 Valley Hart Drive with his unseen mother, Helen Margaret Kookson, a public stenographer; his father is deceased. Kookie drives a hot rod and uses hip talk; for example, ""Squaresville, Man""; ""Like Man, let's get out of here"" and ""I don't dig it."" He refers to Jeff and Stu as ""Hey, Dad"" and pretty girls are ""Dreamboats."" Trouble is ""Troublesville."" Kookie had a way of combing his hair that drove teenage girls in the viewing audience crazy; the song, ""Kookie, Kookie, Lend Me Your Comb"" became a hit. In fourth season episodes, Kookie quits the parking lot business to become partners with Jeff and Stu. J.R. Hale replaced Kookie as the new parking lot attendant at Dino's. Suzanne is a gorgeous French girl who operates the Sunset Answering Service from office 103 at 77 Sunset Strip. She is also a public stenographer and lives in Apartment 217 at 1521/2 North Maple Street, later address given as 236 North Maple, Apartment B. Suzanne works occasionally for Stu or Jeff in an undercover capacity. Roscoe is a stool pigeon who provides information to Stu and Jeff. He was born in the Bronx, New York, and is addicted to gambling. He calls Suzanne ""Frenchy."" Roy Gilmore, called Gil, is a lieutenant with the Homicide Bureau of the L.A.P.D. He sometimes regrets the job and says, ""I should have taken my father's advice and studied air conditioning instead of Nick Carter books."" Stu and Jeff sometimes work for the Pacific Casualty Insurance Company in San Francisco and Pacific Orient Insurance in Los Angeles. In 1963 (to 1964) the format changed to focus on Stu Bailey as a private detective on his own. Although the title remained unchanged, Stu now had an office in downtown Los Angeles in a building called both the Bradbury Building and the Bedford Building. The theme also changed from a snappy vocal composed by Mack David and Jerry Livingston to a musical composition by Bob Thompson. Stu now had a secretary named Hannah and stories were told in a flashback manner. As Stu talked to Hannah, a flashback was used to tell the story. When the flashback ended, Stu and Hannah returned to sum up the case. Cast: Efrem Zimbalist, Jr. {Stuart Bailey), Roger Smith {Jeff Spencer), Richard Long {Rex Randolph), Edd Byrnes (i&amp;ofcV), Jacqueline Beer {Suzanne Fabray), Louis Quinn {Roscoe), Byron Keith {Lt. Roy Gilmore), Robert Logan {J.R. Hale), Joan Staley {Hannah), Nora Hayden {Various ""Red Herring"" Roles).",1958,1964,[None 'Action' 'Crime' 'Drama'],"[None
 'Stu Bailey and Jeff Spencer were the wisecracking, womanizing private detective heroes of this Warner Brothers drama. Stu and Jeff worked out of an office located at 77 Sunset Strip in Los Angeles, right next door to a snazzy restaurant where Kookie worked as a valet. The finger-snapping, slang-talking Kookie occasionally helped Stu and Jeff with their cases, and eventually became a full-fledged member of the detective agency. Rex Randolph and J.R. Hale also joined the firm, and Suzanne was their leggy secretary.']","[""The restaurant, Dino's Lodge, was then owned by 'Dean Martin (I)' (qv). Before it was torn down in 1989, it was located at 8524 Sunset (near Alta Loma) in Los Angeles, California.""
 'This series was produced by Warner Brothers for ABC and the episode ""The Kookie Caper"" (episode 2.2, October 9, 1959) has some inside jokes about other series produced by that studio for ABC. Early in episode, Kookie (\'Edd Byrnes\' (qv) indicates that he doesn\'t know that \'Will Hutchins\' (qv) is the star of _""Sugarfoot"" (1957)_ (qv). Later, he can be seen reading an issue of TV Guide, with the stars of _""Maverick"" (1957)_ (qv), \'James Garner (I)\' (qv) and \'Jack Kelly (I)\' (qv), on the cover. Both of those shows were produced by Warner Brothers, as was this one.'
 ""The network handed the creative reigns of the show over to 'Jack Webb (I)' (qv) and 'William Conrad (I)' (qv) for the show's final season. Webb and Conrad proceeded to fire the entire cast except 'Efrem Zimbalist Jr.' (qv), and re-molded his character Stu Bailey into an international spy.""
 ""The character of Stu Bailey originally appeared in one novel and three short stories written by Series Creator 'Roy Huggins (I)' (qv).""
 'Sponsors included Anacin aspirin, Certs breath mints"" with the golden drop of Retsyn"", and Salem Cigarettes.'
 'The ""Dino\'s Lodge"", that featured performances in numerous episodes, often includes the \'Frankie Ortega\' (qv) Trio. The trio were a Los Angeles-based three-piece jazz band signed with Warner Brothers Records, and that often headlined at the real-life Dino\'s during their heyday of the 1950s and 60s.'
 ""The building in which the detectives' offices were located was, in real-life, the home of the Mary Webb Davis modelling agency. The front of the building, the Dino's Lodge driveway, and part of Dino's, were reproduced on a Warner Brothers soundstage, which is where most of the scenes that took place in that area were filmed. The doorknob on the real door was on the left, and that's where it was on the mock-up in the earliest episodes. Later, for some reason, they moved the knob on the soundstage version to the right. The Mary Webb Davis office was eventually replaced by the Tiffany Theatre. The building has since been torn down.""
 ""This was the first of Warner Brothers' formulaic detective series. ABC was so impressed with its success, that they ordered three identical series that differed only in their sunny locales: Bourbon Street Beat (1959), Hawaiian Eye (1959) and Surfside Six (1960). A fourth series, The Roaring 20's (1960) added variety, by taking place in another era.""
 ""Even though Dino's Lodge is shown in every episode, Dean Martin, who owned the lodge, was never on the show, nor even mentioned.""
 ""The ownership battle over the rights to this show was the reason that Roy Huggins left Warner Brothers. He'd created the concept behind the series, and Selby was his creation, but the pilot episode was released theatrically, and had not been written by Huggins at all. lt was a Warner Brothers property because the actual writer had been working for hire and had no legal claim to it, and so legal ownership of the show belonged to them.""
 ""The 6th season shows Stu's office in The Bradbury Building ,a Los Angeles landmark.""
 'During the final season the last four episodes Bailey has a new secretary named Hannah played by Joan Staley (I).'
 None]", 77 Sunset Strip. ,35319,2,77 Sunset Strip
 A Couple of Joes. ,Series, Variety, ABC," A series of music, songs and comedy sketches hosted by two men named Joe. The series ran from August 5, 1949 to July 12, 1950. Richard Gordon and Alan Kent are the producers. Hosts: Joe Rosenfeld, Joe Bushkin. Regulars: Joan Barton, Beryl Richard, Allyn Edwards, Pat Harrington, Jr., Warren Hull, Morgan the Wonder Dog. Announcer: Tom Shirley. Music: Mike Reilly, Milton DeLugg. ",1949,1950,[None 'Comedy' 'Music'],[None],"['This mish-mash of variety, music and prize giveaways bounced around the ABC network, beginning as a 45-minute show on Thursday nights at 11:15. It became an hour-long Wednesday night (8:00pm-9:00) show in December 1949 before being cut back to 30 minutes in the Wednesday 9:00 pm time slot in March 1950, remaining there until its demise that July.'
 ""The principal star of this show became 'Morgan the Dog' (qv), who survived numerous cast changes that occurred during its 8-1/2-month run.""
 'First premiered as a local show in New York City.'
 'This television series is presumed to be lost. Please check your attic.'
 None]", A Couple of Joes. ,41569,2,A Couple of Joes
 A Date with Judy. ,Series, Comedy, ABC," The Gazette is the town's newspaper; the Bijou is the local movie theater; and Judith (""Judy"") Foster, who lives at 123 State Street, ""is the cutest date in town."" Sixteen-year-old Judy Foster is a pretty high school sophomore with a knack for finding trouble. She receives an allowance of two dollars a week, says things like ""Oh, caterpillars"" and ""Oh, butterflies"" when something goes wrong. She also believes that her family doesn't understand her: ""I think the people who are related to me are unsympathetic and full of a lack of understanding. Every time I offersomething constructive and valuable in the way of something concrete, I get stepped on before the germ of my idea ever gets a chance to bud into blossom."" Oogie Pringle is Judy's boyfriend and the object of her endless efforts to improve him and make him the man of her dreams. Oogie has a band called the High School Hot Licks. Judy and Oogie first met when she ran him over with her tricycle. Melvyn and Dora Foster are Judy's parents. On the day Judy was born, they said, ""Our house would always be open to anyone she wants to bring into it. Her friends will be our friends. Her dates will be our dates."" What they hadn't counted on were ""the kooks"" Judy would have for friends (Oogie is the most irritating to Melvyn). Melvyn owns the Foster Canning Company and met Dora while he was in college. He was in a fraternity and belonged to a band. Randolph Foster is Judy's 12-year-old brother. He is not as mischievous as Judy (he's more wise-cracking) and tries to help Judy out of a jam when he can _æ for her allowance. In some episodes the locale is called ""the town""; in others, ""the city"" or ""our city."" In one episode, Cincinnati was mentioned as the nearest big city. Cast: Patricia Crowley {Judy Foster), Mary Lynn Beller {Judy Foster), Frank Albertson {Melvyn Foster), Judson Rees {Melvyn Foster), John Gibson {Melvyn Foster), Anna Lee {Dora Foster), Flora Campbell {Dora Foster), Gene O'Donnell {Randolph Foster), Peter Avramo {Randolph Foster), Jimmy Sommers {Oogie Pringle) . ",1951,1953,['Comedy'],[None],[None], A Date with Judy. ,42033,2,A Date with Judy
 A Time to Live. ,Series, Serial, NBC," The dramatic story of Julie Byron, a newspaper proofreader and occasional reporter in a small Midwestern town. The series aired from July 5, 1954 to December 31, 1954. Cast: Patricia Sully {Julie Byron), Larry Kelly {Don Riker), Viola Berwick {Madge Byron), Len Wayland {Chick), Jack Lester {Carl Sherman) , Carlton Kadell {Kroger), Zohra Alton {Greta), John Devoe {Justin), Barbara Foley {Lenore), Jim Kodi {Felix), Russ Reed {Sid Landis), Nell Clark {Lucy), John Himes {Don), Dort Clark {Lt. Miles Dow), Jim Andelin (Pete), Toni Gilman (Daphne), Ned Locke (Arthur Hogari), Jacqueline Burkley (Bernice), Howard Caine (Quinn), Rosemary Kelly (Ann Dugger), Zachary Charles (Rudy), Tom Neal (Paul), Kay Miller (Edna), Estelle Luttrell (Ellie Ross), BeverlyYounger (Patricia), Charles Baum (Christopher), Russ Reed (D.L. Dawson), Jack Lester (Carl Sherman), Muriel Monsell (Dawn), Dana Elcar (Dr Clay), Will Hussing (John Eustice). ",1954,,[None 'Drama'],[None],"[""'Dana Elcar' (qv)'s first television role."" None]", A Time to Live. ,52865,2,A Time to Live
A Woman to Remember,,,,,,,,,,,56030,2,A Woman to Remember
ABC 7 Chicago,,,,,,,,,,,58904,2,ABC 7 Chicago
 ABC Album. ,Series, Anthology, ABC," A collection of pilot films and other dramatic and comedic productions. For information on the pilot films that aired, see the following titles: Colonel Humphrey J. Flack, Jamie, Jet Fighter, Justice, Mr. Glencannon Takes All znd Sketchbook. The other presentations were A Tale of Two Cities (May 3rd and May 10th, 1953 with Wendell Corey Charlton Young, Wanda Hendrix and Judith Evelyn), Hogan's Daughter (May 17, 1953, with Sheila Bond and Joshua Shelley), Split Second (June 7, 1953,with Geraldine Fitzgerald, Alan Webb and Fredric Worlock). Baby and Me (June 14, 1953, with Janis Paige and Robert Preston) and TumingPoint (June 21, 1953 with Neva Patterson, Richard Ney and Johnny Stewart). The series is also known as Plymouth Playhouse. Host: Donald Cook. ",1953,1953,[None 'Drama'],"[None
 'ABC, which had a reputation for producing shows that were not as good as their competitors CBS and NBC, used this program to audtition possible series in the hope of gaining sponsorship for the 1953 TV season. The episodes were expensive to produce and featured top notch casts and two of the episodes were picked up by sponsors and broadcast in the 1953-54 season.']","['This program was sponsored by the automobile manufacturer The Chrysler Corporation from the third episode onwards. Thus, the title was changed to The Plymouth Playhouse, Plymouth being one of the brand of automobiles manufactured by Chrysler.'
 'This show was broadcast on the ABC Network on Sunday nights between 7:30 and 8:00 PM Eastern Time.'
 'Episode 1.3, ""Jamie"", was the pilot for the 1953 sitcom of the same name (_""Jamie"" (1953)_ (qv)) starring \'Brandon De Wilde\' (qv).'
 'Episode 1.8, ""Colonel Humphrey J. Flack"", was the pilot for the 1953 series _""Colonel Humphrey Flack"" (1953)_ (qv) starring \'Alan Mowbray\' (qv).'
 None]", ABC Album. ,59062,2,ABC Album
ABC Barn Dance,,,,,,,,,,,59080,2,ABC Barn Dance
ABC Evening News,,,,,,,,,,,59138,2,ABC Evening News
ABC Showcase,,,,,,,,,,,62801,2,ABC Showcase
ABC Television Players,,,,,,,,,,,62831,2,ABC Television Players
 Abe Burrows Almanac. ,Series, Variety, CBS," A live program of music, song and comedy featuring the performances by guests. Abe Burrows and Alan Dinehart are the producers. Host: Abe Burrows. Music: Milton DeLugg. ",1950,,[None 'Comedy' 'Music' 'Talk-Show'],"['Hosted by Abe Burrows, who was billed as ""The bald-headed baritone from Brooklyn,"" and would go on to gain greater fame as a writer of Broadway musicals. This show followed a fairly casual format, with the easy-going Burrows inviting celebrities from music and film to come and talk about their lives and current projects.'
 None]",[None], Abe Burrows Almanac. ,63168,2,Abe Burrows' Almanac
Academy Theatre,,,,,,,,,,,65864,2,Academy Theatre
 Accused. ,Series, Drama, ABC," A weekly series of filmed reenactments of actual courtroom cases. Cast: Edgar Allan Jones, Jr. (Judge), William Gwinn (Substitute Judge), Jim Hodson (Clerk), Tim Farrell (Bailiff), Violet Gilmore (Court Reporter). Announcer: Violet Gilmore. ",1958,1959,[None 'Drama'],"['A prime-time version of the popular daytime show, ""Day in Court."" America\'s fascination with what goes on inside the courtroom goes back way before Court TV and The People\'s Court were on the air. This program provided viewers with as realistic a look as possible at how real trials are conducted and decided. Re-enactments of actual cases were used, with real attourneys making their arguments in front of real judges. Only the defendants and witnesses were actors.'
 None]",[None], Accused. ,70994,2,Accused
 Acrobat Ranch. ,Series, Variety, ABC," Circus variety acts are presented against the background of a western ranch called Acrobat Ranch. The program also features a game segment wherein children, members of the studio audience, compete against one another in game contests for merchandise prizes. Cast: Jack StiUwell {Host), Billy Alberts {Tumbling Tim), Valerie Alberts {Flying Flo). ",1950,1951,['Family'],[None],[None], Acrobat Ranch. ,72716,2,Acrobat Ranch
 Action Autographs. ,Series, Variety, ABC," The program, which spotlights the homemade films of well-known celebrities, also features in-studio interviews and demonstrations on how to use motion picture equipment (home 16mm cameras and projectors), which are supplied by the sponsor. Bell and Howell. Host: Jack Brand, Ed Prentiss. ",1949,1950,[None 'Comedy' 'Family'],"[None
 'A series of fifteen-minute films sponsored by Bell & Howell Cameras to demonstrate to viewers the power of film to bring people into places and situations they would never have seen before. Different episodes went to exciting travel spots, while others provided a look at unusual or entertaining events, while still others gave a glimpse of little-seen occupations.']","['This television series is presumed to be lost. Please check your attic.'
 None]", Action Autographs. ,73130,2,Action Autographs
 Action in the Afternoon. ,Series, Western, CBS," The program, set in Huberle, Montana, during the 1890s, relates incidents in the lives of its citizens with emphasis on the values then as compared to those of the early 1950s. Broadcast live weekday afternoons from Philadelphia. Cast: Jack Valentine, Elaine Watts, John Zacherle, Phil Sheridan, Creighton Stewart, Kris Keegan, Jack V. Harris Forest. Narrator: Blake Ritter. ",1953,1954,[None 'Western'],[None],"['The coroner\'s long frock coat used by \'John Zacherle\' (qv) began the development of one of the best-known characters of the 1960s, ""Zacherley"", the ""Cool Ghoul"".'
 ""As the show was televised live outdoors (from a back lot at WCAU-TV in Philadelphia, PA) lead actor 'Jack Valentine (II)' (qv) and the 'Tommy Ferguson Trio' (qv) would perform western songs during costume changes and other unexpected delays, such as changes in the weather.""
 None]", Action in the Afternoon. ,73174,2,Action in the Afternoon
 Actor's Studio. ,Series, Anthology," ABC, CBS"," A weekly series of dramatizations based on the works of noted authors (for example, Edgar Allan Poe, Ernest Hemingway, John Steinbeck and Tennessee Williams). The series was presented live by the Actor's Studio, a non-profit organization of professional performers. Stars who have appeared on the program include Kim Hunter, Tom Ewell, Harry Bellaver, Marlon Brando, John Sylvester, Anne Jackson, Eleanor Lynn, Warren Stevens, Russell Collins, Julie Harris, Ann Shepherd, Edith King, Herbert Nelson, E.G. Marshall, Cloris Leachman and Richard Boone. The series ran on ABC from September 26, 1948 to October 26, 1949; and on CBS from November 1, 1949 to June 23,  1950. One of the first series to be picked up by another network after being dropped by a network.Recurring Performers: George Reeves, Kim Hunter, Cloris Leachman, Steven Hill, Jocelyn Brando, Tom Ewell. ",1948,1950,[None 'Drama'],"[None
 'Produced by the ABC as its television network was just getting off the ground, this program was one of the first dramatic series television to attract top-name actors and actresses. Performing plays by such authors as Poe and Thurber, cast members included current well-known performers like Julie Harris and Cloris Leachman, as well as up-and-coming talents like Marlon Brando. The series was renamed ""The Play\'s the Thing"" midway through its final season.'
 'The 56 episodes were adaptations of plays, stories, etc. by famous authors, e.g., Tennessee Williams, James Thurber, H.G. Wells, Ring Lardner, Edgar Allen Poe, Maxim Gorky, Ben Hecht, Oscar Wilde, Irwin Shaw, Stephen Vincent Benet, Thomas Hardy, William Saroyan, Erskine Caldwell, Bret Harte, etc.']","['\'Marlon Brando\' (qv) made his first TV appearance in ""I\'m No Hero"" on 1/9/1949. His next TV appearance would be in 1979.'
 'Three plays performed in the first season were restaged in the second season. ""The Thousand Dollar Bill"" was originally presented on 10/17/1948 and again on 11/29/1949; ""The Little Wife"" originally presented on 1/16/1949 was again shown on 1/17/1950; and ""Joe McSween\'s Atomic Machine"" was presented on 3/6/1949 and 1/31/1950.'
 ""None of these episodes has been found. Some of them include performances by actor such as 'Jessica Tandy' (qv) and 'Martin Balsam' (qv).""
 'Episodes 1.1 through 2.5 were broadcast on the ABC-TV network at various times: Ep. 1.1 through 1.25 were broadcast on Sunday evenings between 8:30 and 9:00 PM Eastern Time. Ep. 1.26 through 1.31 were broadcast on Thursday evenings between 8:30 and 9:00 PM Eastern Time. Ep. 1.32 through 1.35 were broadcast on Thursday evenings between 9:30 and 10:00 PM Eastern Time. Ep. 2.1 through 2.5 were broadcast on Wednesday evenings between 8:00 and 8:30 PM Eastern Time.'
 'Starting with Episode 2.6, the show was broadcast on the CBS-TV network: Ep. 2.6 through 2.19 were broadcast on Tuesday evenings between 9:00 and 9:30 PM Eastern Time. Ep. 2.20 and 2.21 were broadcast on Friday evenings between 9:00 and 10:00 PM Eastern Time.'
 None]", Actor's Studio. ,73584,2,Actor's Studio
 Actor's Hotel. ,Series, Comedy, ABC," Carlo Corelli is a likeable young man who, with his Uncle Antonio, runs a small, rural boarding house. The series relates their misadventures as they deal with the various (sometimes unpredictable) people who reside at the boarding house. Cast: William Edmunds (Carlo Corelli), Alan Dale (Uncle Antonio) . ",1951,1952,['Comedy'],[None],[None], Actor's Hotel. ,75278,2,Actors Hotel
Adventure in Dairyland,,,,,,,,,,,78675,2,Adventure in Dairyland
Adventure Showcase,,,,,,,,,,,78738,2,Adventure Showcase
 Adventure Theater. ,Series, Anthology, NBC," A summer series of British produced suspense dramas hosted by actor Paul Douglas. The series ran from June 16, 1956 to August 18, 1956. ",1956,,[None 'Adventure' 'Drama'],"['Hosted by storyteller Paul Douglas, this summer series started each episode with Douglas holding some artifact from England, which he would then use as the basis for a long, involved tale of adventure explaining how the object came to be in his possession. The show was brought back in repeats for its second summer season in 1957.'
 None]",[None], Adventure Theater. ,78759,2,Adventure Theater
 Scotland Yard. ,Series, Crime Drama, Syn.," Dramatizations based on the files of the Criminal Investigation Division of New Scotland Yard in London, England. The series ran in syndication from 1955-1957 and on ABC from November 17, 1957 to April 6, 1958. Cast: Edgar Lustgarten {Host-Narrator), Russell Napier {Inspector Duggan), Ken Henry {Inspector Ross), Arthur Mason {Sergeant Mason) . ",1955,1958,[None 'Adventure' 'Drama'],"['Hosted by storyteller Paul Douglas, this summer series started each episode with Douglas holding some artifact from England, which he would then use as the basis for a long, involved tale of adventure explaining how the object came to be in his possession. The show was brought back in repeats for its second summer season in 1957.'
 None]",[None], Scotland Yard. ,78759,2,Adventure Theater
Adventure,,,,,,,,,,,79106,2,Adventure
Adventures in Jazz,,,,,,,,,,,79346,2,Adventures in Jazz
Adventures in Music,,,,,,,,,,,79374,2,Adventures in Music
Adventures in Numbers and Space,,,,,,,,,,,79377,2,Adventures in Numbers and Space
