id,movie_id,title,imdb_index,kind_id,production_year,phonetic_code,episode_of_id,season_nr,episode_nr,note,md5sum
41,2514,Kurze Pause...,,2,1956,K6212,,,,(West Germany) (alternative title),5956ba67e6567ef5b1c94ad51bf96947
233,11762,1:0 für ... Düsseldorf,,2,1954,F6324,,,,,598c71ea24df9aecb1d2ca9f143f1f1e
234,11762,1:0 für... Dich,,2,1954,F632,,,,,c5cbc0222e09722578e79ae11990da06
330,16535,Twenty-One Beacon Street,,2,1959,T5351,,,,,6ed2faf7be692a467b3d26238458683f
559,34862,7 Wünsche die Sie haben - die wir erfüllen,,2,1956,W5232,,,,(West Germany) (alternative title),f7560017b0af07dcf4b5550ebe36a82b
564,35319,77-Sunset-Strip,,2,1960,S5232,,,,(West Germany),f941a73f7bee00013f825217d1db223f
565,35319,77-Sunset-Strip,,2,1991,S5232,,,,(Germany) (imdb display title),37fe272105077b59bb97a060c465db6a
566,35319,Indirizzo permanente,,2,1958,I5362,,,,(Italy) (imdb display title),5f7908f70de85183d2e275223509a766
567,35319,Sunset 77,,2,1958,S523,,,,(USA) (working title),654dec118ce7c378f4bf27894d6f0681
784,50743,Rubovian Legends,,2,1958,R1542,,,,(UK) (informal title),16f12e430f709f65bda7ff927b7aad00
963,59062,The Plymouth Playhouse,,2,1953,P4531,,,,(USA) (new title),e816fe0ebc93c68890e645e826f3473d
969,59138,ABC World News Tonight with David Muir,,2,1953,A1264,,,,(USA) (imdb display title),9c76caf2a5cd32016122be3fecd27726
970,59138,ABC World News Tonight with David Muir,,2,2014,A1264,,,,(USA) (new title),9d09b5dbbcd5823167f95c9e70e7d9fd
971,59138,ABC World News Tonight with Peter Jennings,,2,1982,A1264,,,,(USA) (long new title),f761b1be29a2f4cc0c16faf8fad9ed13
972,59138,ABC World News with Charles Gibson,,2,2006,A1264,,,,(USA) (new title),657d6e8cd9467d926ef20e5dcc13169f
973,59138,ABC WorldNews Tonight,,2,1978,A1264,,,,(USA) (new title),6041c81e059e2695957a7a077caa7759
974,59138,John Daly and the News,,2,1953,J5345,,,,(USA) (first season title),cbfc5e0b29ff27ceb1ea2f4a8a744309
975,59138,Peter Jennings with the News,,2,1965,P3625,,,,(USA) (thirteenth season title),bd2639d4472014b572ae764331876009
976,59138,World News Tonight,,2,1978,W6435,,,,(USA) (new title),afdd8d887ecb1235b79f69a708f5a5ec
977,59138,World News with Diane Sawyer,,2,2008,W6435,,,,(USA) (new title),4f2fd526df43611f1639122d9ee53d48
980,62831,ABC Penthouse Players,,2,1949,A1215,,,,,9f6df0a0d1062cd663f074d926646bd3
981,62831,ABC Tele-Players,,2,1949,A1234,,,,,abd5bb89f1319486029596acde68a416
991,63228,Berliner Abendschau,,2,1958,B6456,,,,(West Germany),4ba46bd74712c72d8aee9dc14d80dab0
1093,73584,The Play's the Thing,,2,1950,P4235,,,,(USA) (last season title),7821c1325d38f37fe313bf4044e5f72d
1179,78759,Calling Scotland Yard,,2,1956,C4523,,,,(UK) (copyright title),da6681a8ceadb3734bc5e2717c3e0ee0
1199,79374,Korla Pandit's Adventures in Music,,2,1948,K6415,,,,(USA) (complete title),5d35b2853c14971cd66e012499573b92
1200,79394,James A. Michener's Adventures in Paradise,,2,1959,J5252,,,,(USA) (complete title),c65c28fe2673d44437a1f058fcdfd086
1208,79768,Superman,,2,1987,S165,,,,(Australia),b5d2d181de28def992b474391d73d475
1216,80070,Caribbean Adventure,,2,1958,C6153,,,,(USA) (working title),d3452912e0d13513a046a39c18860a09
1720,94231,Ak,,2,1956,A2,,,,(Estonia) (short title),99d9ccf21b3efce46cf6ff51a1be79b3
1721,94231,áËÔÕÁÌØÎÁÑ ËÁÍÅÒÁ,,2,1956,,,,,(Soviet Union: Russian title) (Cyrillic KOI8-R title),668f298a0161027fdb6f124c4481a065
1749,95172,The Al Morgan Show,,2,1949,A4562,,,,(USA) (new title),ab66880783b618ca171ce9fd17fc5721
1761,96829,Hal Lashwood's Minstrels,,2,1960,H4232,,,,(Australia) (new title),f7a9b41923e5c14d5fc3e626392bc07d
1781,97158,A-Z,,2,1956,A2,,,,,e9e1c0581671fdd060fde7085a256f14
