Number,Program Title,Program Type,Program Genre,Network,First Air Month,First Air Day,First Air Year,Last Air Month,Last Air Day,Last Air Year,Program Description
5137, Mary Kay and Johnny. ,Series, Comedy," DuMont, NBC, CBS",,,1947,,,1950," The marital misadventures of Mary Kay and Johnny Stearns, television's first domestic couple. The series is based on their actual experiences and relates their simple pleasures and trying times (both are level-headed and the everyday incidents that occur in their lives are the focal point of stories). The program ran on DuMont from November 18, 1947 to August 24, 1948; on NBC from October 10, 1948 to February 13, 1949; on CBS from February 23, 1949 to June 1, 1949; and on NBC from June 13, 1949 to March 11, 1950. Cast: Mary Kay Stearns {Mary Kay Stearns), Johnny Stearns {Johnny Steams), Christopher Stearns {Christopher Stearns; their son), Nydia Westman {Mary Kay's Mother), Howard Thomas {Howie, Johnny's friend). Announcer Jim Stevenson. "
7531, The Small Fry Club. ,Series, Children, DuMont,,,1947,,,1951," Bob Emery hosts a program of stories, game contests, magic tricks, audience participation and other related entertainment geared to children. "
1738, Crawford Mystery Theater. ,Series, Game, DuMont,,,1947,,,1952, The alternate title for Public Prosecutor (which see for information when sponsored by Crawford Carpets). 
6636, Public Prosecutor. ,Series, Mystery," Syn., DuMont",,,1947,,,1952," The syndicated version of the series (1947-48) was a short mystery that, with commercials, was designed to run in twentyminute spots. In 1951 (to 1952), when the DuMont network acquired the program, it became a mystery game. Here a panel of three detective-fiction experts would view a fifteen-minute mystery film that was stopped prior to the denouncement. The experts were then asked to identify the culprit. After doing so, the film was played to reveal the answer. Also known as Crawford Mystery Theater. Cast: John Howard {Prosecuting Attorney) , Anne Gwynne {His Assistant), Walter Sande {Police Lieutenant). "
4323, Juvenile Jury. ,Series, Children," NBC, CBS",,,1947,,,1955," The program features a panel of five children answering questions or giving their opinions on questions or problems submitted by home viewers or presented by studio audience members. The panelists listed below are some of the better-known children who have appeared. The series, based on the radio program of the same title, ran on NBC from April 3, 1947 to October 3, 1953; on CBS from October 11, 1953 to September 14, 1954; and on CBS from January 2, 1955 to March 27, 1955. Host: Jack Barry. Panelists: Robin Morgan, Johnny McBride, Elizabeth Mae Watson, Charlie Hankinson, Peggy Bruder, Dickie Orlan, Angela Bell, Jeff Silver, Paul Jackson, Veronique DeAllo, Sean Masterson, Ricky Cordell, Monique Althouse, Glena Sargent, Christine Hare, Bobby Hull, Wayne Chestnut, Melanie Freeman, Douglas Stewart, Curtis Helm, Melanie Fogel. "
4489, The Kraft Television Theater. ,Series, Anthology," NBC, ABC",,,1947,,,1955," Dramatic and comedic productions featuring Broadway veterans, well known and lesser-known actors. The series, sponsored by Kraft Dairy Foods, was the first hourlong anthology series to be broadcast to the Midwest by the coaxial cable (1949). The series ran on NBC from May 7, 1947 to October 1, 1958; and on ABC from October 15, 1953 to January 6, 1955. Performers Include: Tammy Grimes, Lee Remick, Farley Granger, Sylvia Sidney, Patricia McCormack, Glenda Farrell, Peggy Ann Garner, ClilF Robinson, Sal Mineo, Nancy Marchand, Collin Wilcox, Ed Begley, Roland Winters, Nancy Malone, Betsy Palmer, Shelley Winters, Rudy Vallee, William Shatner, Fay Wray, Pat O'Brien, Milton Berle, Gloria Vanderbilt, Lee Grant, Lynn Loring, E.G. Marshall, Dan O'Herlihy, Lorne Greene, Raymond Massey, Joanne Woodward, Audra Lindley, Basil Rathbone, Hope Lange, Elizabeth Montgomery, James Whitmore, Patrick Macnee, Constance Ford, Tony Franciosa, Gisele MacKenzie, Lillian Gish, Jane Seymour, Claudia Morgan, Olga Fabian. Announcer: Ed Herlihy, Charles Stark."
4498," Kukla, Fran and Ollie. ",Series, Children," NBC, ABC",,,1947,,,1957," The series, set against the background of the Kuklapolitan Theater, presents the antics of the Kuklapolitans, a group of puppets created by Burr Tillstrom: Kukla, the bald-headed, round-nosed little man; Ollie, his friend, a scatterbrained dragon; Beulah Witch; Madam Ooglepuss; Colonel Crockie; Cecil Bill; Dolores Dragon; and Mercedes Rabbit. The series aired locally in Chicago (1947-1979) then on NBC from November 12, 1949 to June 13, 1954; and on ABC from September 6, 1954 to August 30, 1957. An announcer opens the show: ""Here comes the fun, it's time for Kukla, Fran and Ollie. Martin Tossi presents Burr Tillstrom, creator of Kukla and Ollie and all the Kuklapolitan players, with Fran Allison in Kukla, Fran and Ollie."" Hostess: Fran Allison. PuppeteerVoices: Burr Tillstrom. Regulars: Carolyn Gilbert, Cesar Giovannini. Announcer: Hugh Downs. "
3760, Howdy Doody. ,Series, Children, NBC,,,1947,,,1960," On December 27, 1941, in the town of DoodyviUe, Texas, twin boys were born to the wife of a ranch hand named Doody. The boys, named Howdy and Double grew quickly and enjoyed life on the ranch where their parents earned a living by doing chores for the owner. At the age of six, the boys learn that their rich Uncle Doody has died and bequeathed them a small parcel of land in New York City (that would later become 30 Rockefeller Plaza _Êî NBC's headquarters). When NBC offered to purchase the land to construct a television studio, Mr. Doody arranged it so that Howdy, who yearned to run a circus, could have his dream come true. NBC built a circus grounds, surrounded it with cameras and appointed Buffalo Bob Smith as Howdy's guardian. The series is set against the background of DoodyviUe and surrounded by the Peanut Gallery (children). Stories follow a circus troupe's efforts to perform against numerous obstacles, in particular those of Phineas T. Bluster, a mean old man who is opposed to people having fun. Clarabelle Hornblow isthe circus clown (he does not speak but responds to questions by honking a ""yes' or ""no"" horn; he spoke only once _Êî on the last episode to say goodbye). Puppet characters are Howdy and Double Doody, Phineas T. Bluster, the Flubadub (the main circus attraction) and Dilly Dally (the confused boy). Live characters are Buffalo Bob Smith; Clarabelle Hornblow; The Story Princess; Chief Thunderthud; Tim Tremble (the nervous chap) ; Princess Summerfall Winterspring; Bison Bill (Buffalo Bob's temporary replacement during his illness in 1954). George ""Gabby"" Hayes, playing himself (also served as a temporary host); Ugly Sam (the wrestler); Lowell Thomas, Jr., the traveling lecturer. The series, which produced 2,543 episodes, ran from December 27, 1947 to September 24, 1960. Cast: Bob Smith {Buffalo Bob Smith), Bob Keeshan {Clarabelle Hornblow), Henry McLaughlin {Clarabelle Hornblow), Bob Nicholson {Clarabelle Honrblow), Lew Anderson {Clarabelle Hornblow), Arlene Dalton {Story Princess), Bill Lecornec {Chief Thunderthud) , Don Knotts {Tim Tremble), Judy Tyler {Princess Summerfall Winterspring), Linda Marsh {Princess Summerfall Winterspring), Ted Brown {Bison Bill), George ""Gabby"" Hayes {Himself), Bob Smith {Voice of Howdy Doody), Allen Swift {Voice of Howdy Doody in 1954), Dayton Allen {Voice of Phineas T. Bluster), Bob Smith {Voice of Double Doody), Bill Lecornec {Voice of Dilly Dally), Dayton Allen {Voice of the Flubadub), Lowell Thomas, Jr. {Lowell Thomas, Jr.). Narrator (Silent Film Segment): Dayton Allen. Puppeteer: Rhoda Mann, Lee Carney, Rufus C. Rose. "
5331, Midwestern Hayride. ,Series, Variety," Syn., ABC",,,1947,,,1967," Performances by country and western artists. The long-running series played in syndication from 1947 to 1967 and on ABC from June 29, 1957 to September 22, 1958. Hosts: Paul Dixon, Dean Richards, Willie Thall, Bill Thall. Regulars: Bonnie Lou, Phyllis Brown, Helen Scott, Billy Scott, Paul Arnold, Mary Jane Johnson, Clay Eager, Phyllis Holmes, Bill Holmes, Freddy Langdon, Tommy Watson, Zeeke Turner, Wally Praetor, Martha Hendricks, Barney Sefton, Jim Philpot, Ernie Lee, Judy Perkins, Kenny Roberts, Bob Shredi, The Pleasant Valley Boys, The Country Briar Hoppers, The Hometowners, The Kentucky Boys, The Midwesterners, The Lucky Pennies, The Trail Blazers, The Girls of the Golden West, The Brown Ferry Four. Announcer: Hal Woodard. Music: The Pleasant Valley Rangers. "
50, Actor's Studio. ,Series, Anthology," ABC, CBS",,,1948,,,1950," A weekly series of dramatizations based on the works of noted authors (for example, Edgar Allan Poe, Ernest Hemingway, John Steinbeck and Tennessee Williams). The series was presented live by the Actor's Studio, a non-profit organization of professional performers. Stars who have appeared on the program include Kim Hunter, Tom Ewell, Harry Bellaver, Marlon Brando, John Sylvester, Anne Jackson, Eleanor Lynn, Warren Stevens, Russell Collins, Julie Harris, Ann Shepherd, Edith King, Herbert Nelson, E.G. Marshall, Cloris Leachman and Richard Boone. The series ran on ABC from September 26, 1948 to October 26, 1949; and on CBS from November 1, 1949 to June 23,  1950. One of the first series to be picked up by another network after being dropped by a network.Recurring Performers: George Reeves, Kim Hunter, Cloris Leachman, Steven Hill, Jocelyn Brando, Tom Ewell. "
906, The Bob Howard Show. ,Series, Variety, CBS,,,1948,,,1950," An interlude series of music and songs with singer-pianist Bob Howard. The second television series to be hosted by a black performer (see The Ethel Waters Show for information on the first). The series ran from July 26, 1948 to December 12,  1950. Bob Stevens is the producer. Host: Bob Howard. Music: Bob Howard."
1053, The Broadway Playhouse. ,Series, Anthology, NBC,,,1948,,,1950, The alternate title for The Chevrolet TeleTheater. See this title for information. 
1268, Cartoon Teletales. ,Series, Children, ABC,,,1948,,,1950," The program features line sketch drawings to illustrate off-stage narrating of fairy tale like stories for children. Cast: Jack Luchsinger {Story Teller), Charles Luchsinger {Artist). "
1415, The Chesterfield Supper Club. ,Series, Variety, NBC,,,1948,,,1950," An interlude program of music and songs with singer Perry Como in his first television series. The series, sponsored by Chesterfield cigarettes, ran from December 24, 1948 to May 28, 1950. Bob Moss and Richard Berger are the producers. Host: Perry Como. Regulars: Geri Fontaine,Margie Fontaine, Bea Fontaine. Announcer: Martin Block. Orchestra: Mitchell Ayres. "
1417, The Chevrolet Tele-Theater. ,Series, Anthology, NBC,,,1948,,,1950," A series of live dramatic presentations. The first seven episodes were broadcast under the title The Broadway Playhouse. The series, sponsored by Chevrolet, ran from September 27 1948 to June 26, 1950. Performers Include: Cara Williams, E.G. Marshall, Frances Reid, William Prince, Dick Foran, Rex Harrison, Patricia Crowley, Faye Emerson, Mercedes McCambridge, Barry Nelson, Lee Tracy, Basil Rathbone, Nina Foch, Nanette Fabray, Natalie Schafer, Roland Young, John Carradine, Judy Parrish, Jessie Royce Landis, James Dunn, Buddy Ebsen, Ann Thomas, Ilka Chase, Janet Blair. "
5521, The Morey Amsterdam Show. ,Series, Variety," CBS, DuMont",,,1948,,,1950," Music, songs and comedy set against the background of the Silver Swan Cafe. Morey is the cafe owner; Newton is the waiter; Rosemary the singer; and Jacqueline the cigarette girl. The series ran on CBS from December 17, 1948 to March 7, 1949; and on DuMont from April 21, 1949 to December 12, 1950. Irving Mansfield, Barry Wood and Morey Amsterdam are the producers. Cast: Morey Amsterdam {Morey), Art Carney {Newton), Rosemary Clooney {Rosemary), Jacqueline Susann {Jacqueline), Francey Lane {Regular), Vic Damone {Regular), Mary Raye {Regular). Announcer: Don Russell. Orchestra: Ray McKinley, Johnny Guarnieri."
8126, The Ted Steele Show. ,Series, Variety," NBC, DuMont, CBS",,,1948,,,1950," Music and songs hosted by bandleader Ted Steele. The series ran on NBC from September 29, 1948 to October 29, 1948; DuMont from February 27, 1949 to July 12, 1949; and on CBS from June 6, 1949 to April 28, 1950. Host: Ted Steele. Regulars: Helen Wood, Michael Rich, Nola Day, Marci Bryant, Charles Danford. Orchestra: Ted Steele. "
8606, TV Shopper. ,Series, Women, DuMont,,,1948,,,1950," Shopping hints, fashion tips, marketing advice, consumer reports and other topics of interest to women. The series ran from November 1, 1948 to December 1, 1950. Hostess: Kathi Norris."
8818, Village Barn. ,Series, Variety, NBC,,,1948,,,1950," A program of music and songs from the Village Barn, a nightclub in New York's Greenwich Village. Host: Piute Pete. Regulars: Zebe Carver, Dick Thomas, Charlie Althoff, Ray Forrest, Dick Dudley, Bob Stanton. Music: Pappy Howard and His Tumbleweed Gang, Bill Long and His Ranch Girls. "
168, The Alan Dale Show. ,Series, Variety, DuMont,,,1948,,,1951," A program of music and songs with Alan Dale, a popular baritone of the 1940s and early 1950s. Host: Alan Dale. Regulars: Janie Ford, Karen Rich, The Sapphires, The Arnold Halop Ensemble. Announcer: John Shafer. "
1530, Club 7. ,Series, Variety, ABC,,,1948,,,1951," An informal musical variety show, that features new talent discoveries, that ran from August 12, 1948 to September 24, 1951. Host: Johnny Thompson, Rony Bavaar. Music: Bobby Byrne. "
