,Number,Program Title,Program Type,Program Genre,Network,First Air Year,Last Air Year,Program Description,id,title,imdb_index,kind_id,production_year,imdb_id,phonetic_code,episode_of_id,season_nr,episode_nr,series_years,correct_name,name_ratio
0,5137, mary kay and johnny ,series, comedy," dumont, nbc, cbs",1947,1950.0," the marital misadventures of mary kay and johnny stearns, television's first domestic couple. the series is based on their actual experiences and relates their simple pleasures and trying times (both are level-headed and the everyday incidents that occur in their lives are the focal point of stories). the program ran on dumont from november 18, 1947 to august 24, 1948; on nbc from october 10, 1948 to february 13, 1949; on cbs from february 23, 1949 to june 1, 1949; and on nbc from june 13, 1949 to march 11, 1950. cast: mary kay stearns {mary kay stearns), johnny stearns {johnny steams), christopher stearns {christopher stearns; their son), nydia westman {mary kay's mother), howard thomas {howie, johnny's friend). announcer jim stevenson. ",247404,bank on the stars,nan,2,1953,nan,b5253,nan,nan,nan,1953-1954, mary kay and johnny ,86.0
1,5137, mary kay and johnny ,series, comedy," dumont, nbc, cbs",1947,1950.0," the marital misadventures of mary kay and johnny stearns, television's first domestic couple. the series is based on their actual experiences and relates their simple pleasures and trying times (both are level-headed and the everyday incidents that occur in their lives are the focal point of stories). the program ran on dumont from november 18, 1947 to august 24, 1948; on nbc from october 10, 1948 to february 13, 1949; on cbs from february 23, 1949 to june 1, 1949; and on nbc from june 13, 1949 to march 11, 1950. cast: mary kay stearns {mary kay stearns), johnny stearns {johnny steams), christopher stearns {christopher stearns; their son), nydia westman {mary kay's mother), howard thomas {howie, johnny's friend). announcer jim stevenson. ",266116,beat the clock,nan,2,1950,nan,b3242,nan,nan,nan,1950-1961, mary kay and johnny ,86.0
2,7531, the small fry club ,series, children, dumont,1947,1951.0," bob emery hosts a program of stories, game contests, magic tricks, audience participation and other related entertainment geared to children. ",129763,america speaks,nan,2,1948,nan,a5621,nan,nan,nan,1948-????, the small fry club ,86.0
3,7531, the small fry club ,series, children, dumont,1947,1951.0," bob emery hosts a program of stories, game contests, magic tricks, audience participation and other related entertainment geared to children. ",301078,big top,nan,2,1950,nan,b231,nan,nan,nan,1950-1957, the small fry club ,86.0
4,7531, the small fry club ,series, children, dumont,1947,1951.0," bob emery hosts a program of stories, game contests, magic tricks, audience participation and other related entertainment geared to children. ",301087,big town,nan,2,1950,nan,b235,nan,nan,nan,1950-1956, the small fry club ,86.0
5,7531, the small fry club ,series, children, dumont,1947,1951.0," bob emery hosts a program of stories, game contests, magic tricks, audience participation and other related entertainment geared to children. ",570350,crusader,nan,2,1955,nan,c6236,nan,nan,nan,1955-1956, the small fry club ,86.0
6,4489, the kraft television theater ,series, anthology," nbc, abc",1947,1955.0," dramatic and comedic productions featuring broadway veterans, well known and lesser-known actors. the series, sponsored by kraft dairy foods, was the first hourlong anthology series to be broadcast to the midwest by the coaxial cable (1949). the series ran on nbc from may 7, 1947 to october 1, 1958; and on abc from october 15, 1953 to january 6, 1955. performers include: tammy grimes, lee remick, farley granger, sylvia sidney, patricia mccormack, glenda farrell, peggy ann garner, clilf robinson, sal mineo, nancy marchand, collin wilcox, ed begley, roland winters, nancy malone, betsy palmer, shelley winters, rudy vallee, william shatner, fay wray, pat o'brien, milton berle, gloria vanderbilt, lee grant, lynn loring, e.g. marshall, dan o'herlihy, lorne greene, raymond massey, joanne woodward, audra lindley, basil rathbone, hope lange, elizabeth montgomery, james whitmore, patrick macnee, constance ford, tony franciosa, gisele mackenzie, lillian gish, jane seymour, claudia morgan, olga fabian. announcer: ed herlihy, charles stark.",345122,break the bank,nan,2,1948,nan,b6231,nan,nan,nan,1948-1957, the kraft television theater ,88.0
7,4489, the kraft television theater ,series, anthology," nbc, abc",1947,1955.0," dramatic and comedic productions featuring broadway veterans, well known and lesser-known actors. the series, sponsored by kraft dairy foods, was the first hourlong anthology series to be broadcast to the midwest by the coaxial cable (1949). the series ran on nbc from may 7, 1947 to october 1, 1958; and on abc from october 15, 1953 to january 6, 1955. performers include: tammy grimes, lee remick, farley granger, sylvia sidney, patricia mccormack, glenda farrell, peggy ann garner, clilf robinson, sal mineo, nancy marchand, collin wilcox, ed begley, roland winters, nancy malone, betsy palmer, shelley winters, rudy vallee, william shatner, fay wray, pat o'brien, milton berle, gloria vanderbilt, lee grant, lynn loring, e.g. marshall, dan o'herlihy, lorne greene, raymond massey, joanne woodward, audra lindley, basil rathbone, hope lange, elizabeth montgomery, james whitmore, patrick macnee, constance ford, tony franciosa, gisele mackenzie, lillian gish, jane seymour, claudia morgan, olga fabian. announcer: ed herlihy, charles stark.",596054,danger,nan,2,1950,nan,d526,nan,nan,nan,1950-1955, the kraft television theater ,86.0
8,4489, the kraft television theater ,series, anthology," nbc, abc",1947,1955.0," dramatic and comedic productions featuring broadway veterans, well known and lesser-known actors. the series, sponsored by kraft dairy foods, was the first hourlong anthology series to be broadcast to the midwest by the coaxial cable (1949). the series ran on nbc from may 7, 1947 to october 1, 1958; and on abc from october 15, 1953 to january 6, 1955. performers include: tammy grimes, lee remick, farley granger, sylvia sidney, patricia mccormack, glenda farrell, peggy ann garner, clilf robinson, sal mineo, nancy marchand, collin wilcox, ed begley, roland winters, nancy malone, betsy palmer, shelley winters, rudy vallee, william shatner, fay wray, pat o'brien, milton berle, gloria vanderbilt, lee grant, lynn loring, e.g. marshall, dan o'herlihy, lorne greene, raymond massey, joanne woodward, audra lindley, basil rathbone, hope lange, elizabeth montgomery, james whitmore, patrick macnee, constance ford, tony franciosa, gisele mackenzie, lillian gish, jane seymour, claudia morgan, olga fabian. announcer: ed herlihy, charles stark.",938247,footlights theater,nan,2,1952,nan,f3423,nan,nan,nan,1952-1953, the kraft television theater ,86.0
9,4489, the kraft television theater ,series, anthology," nbc, abc",1947,1955.0," dramatic and comedic productions featuring broadway veterans, well known and lesser-known actors. the series, sponsored by kraft dairy foods, was the first hourlong anthology series to be broadcast to the midwest by the coaxial cable (1949). the series ran on nbc from may 7, 1947 to october 1, 1958; and on abc from october 15, 1953 to january 6, 1955. performers include: tammy grimes, lee remick, farley granger, sylvia sidney, patricia mccormack, glenda farrell, peggy ann garner, clilf robinson, sal mineo, nancy marchand, collin wilcox, ed begley, roland winters, nancy malone, betsy palmer, shelley winters, rudy vallee, william shatner, fay wray, pat o'brien, milton berle, gloria vanderbilt, lee grant, lynn loring, e.g. marshall, dan o'herlihy, lorne greene, raymond massey, joanne woodward, audra lindley, basil rathbone, hope lange, elizabeth montgomery, james whitmore, patrick macnee, constance ford, tony franciosa, gisele mackenzie, lillian gish, jane seymour, claudia morgan, olga fabian. announcer: ed herlihy, charles stark.",938579,for better or worse,nan,2,1959,nan,f6136,nan,nan,nan,1959-1960, the kraft television theater ,86.0
