id,title,imdb_index,kind_id,production_year,imdb_id,phonetic_code,episode_of_id,season_nr,episode_nr,series_years,correct_name,name_ratio,Number,Program Title,Program Type,Program Genre,Network,First Air Year,Last Air Year,Program Description
73174,action in the afternoon,nan,2,1953,nan,a2353,nan,nan,nan,1953-????, action in the afternoon ,100,43, action in the afternoon ,series, western, cbs,1953,1954," the program, set in huberle, montana, during the 1890s, relates incidents in the lives of its citizens with emphasis on the values then as compared to those of the early 1950s. broadcast live weekday afternoons from philadelphia. cast: jack valentine, elaine watts, john zacherle, phil sheridan, creighton stewart, kris keegan, jack v. harris forest. narrator: blake ritter. "
73584,actor's studio,nan,2,1948,nan,a2362,nan,nan,nan,1948-1950, actor's studio ,100,50, actor's studio ,series, anthology," abc, cbs",1948,1950," a weekly series of dramatizations based on the works of noted authors (for example, edgar allan poe, ernest hemingway, john steinbeck and tennessee williams). the series was presented live by the actor's studio, a non-profit organization of professional performers. stars who have appeared on the program include kim hunter, tom ewell, harry bellaver, marlon brando, john sylvester, anne jackson, eleanor lynn, warren stevens, russell collins, julie harris, ann shepherd, edith king, herbert nelson, e.g. marshall, cloris leachman and richard boone. the series ran on abc from september 26, 1948 to october 26, 1949; and on cbs from november 1, 1949 to june 23,  1950. one of the first series to be picked up by another network after being dropped by a network.recurring performers: george reeves, kim hunter, cloris leachman, steven hill, jocelyn brando, tom ewell. "
2772756,the singing lady,nan,2,1948,nan,s5252,nan,nan,nan,1948-1950, the singing lady ,100,7465, the singing lady ,series, children, abc,1948,1954," music, songs and fairy tales with ireene wicker, ""the singing lady."" the series, based on the radio program of the same title, ran from august 12, 1948 to august 6, 1950. it was revised as ireene wicker story time from september  27, 1953 to march 21, 1954. hostess: ireene wicker. regulars: the suzari marionettes. "
1354851,kay kyser's kollege of musical knowledge,nan,2,1949,nan,k2624,nan,nan,nan,1949-????, kay kyser's kollege of musical knowledge ,100,4351, kay kyser's kollege of musical knowledge ,series, game, nbc,1949,1954," musical numbers are interspersed with a quiz segment situated against a college format. players compete in tests of musical questions divided into midterms and final exams. the professor (host) leads the orchestra in a selection that the player must identify. if he is correct, a cash prize is awarded; if he isunable to answer it, the song title is relayed by the studio audience (students). the series ran from december 1, 1949 to september 12, 1954 and is based on the radio series of the same title. host: kay kyser (1949-1954), tennessee ernie ford (1954). regulars: mike douglas, sylvia michaels, diana sinclair, liza palmer, sue bennett, merwyn bogue, ken spaulding, donna brown, maureen cassidy, spring mitchell, the honeydreamers. announcer: jack narz, verne smith. orchestra: kay kyser. "
2432561,suspicion,nan,2,1957,nan,s2125,nan,nan,nan,1957-1958, suspicion ,100,8005, suspicion ,series, anthology, nbc,1957,1958," dramatizations that focus on people's fears and suspicions. the series aired from september 30, 1957 to september 22, 1958. forty episodes were produced but only 21 are syndicated. the episodes produced and directed by alfred hitchcock are excluded from the syndicated package. host: dennis o'keefe, walter abel. performers include: elizabeth montgomery, e.g. marshall, donna reed, burgess meredith, warren beatty, boris karloff, jack klugman, joanne linville, lisa kirk, george peppard, bette davis, dennis o'keefe, agnes moorehead, william shatner, patrick macnee, susan oliver, eh wallach, roddy mcdowall, joanna moore, lorne greene. "
2197498,sally,nan,2,1957,nan,s4,nan,nan,nan,1957-1958, sally ,100,7092, sally ,series, comedy, nbc,1957,1958," myrtle banford is a rich, elderly widow and part owner of the banford and bascomb department store. sally truesdale is a clerk at the store. when myrtle decides to enjoy life and see the world she hires sally as her traveling companion. stories follow their misadventures as they embark on a tour of the world. the series ran from september 15, 1957 to february 9, 1958. cast: joan caulfield {sally truesdale), marion lorne {myrtle banford). "
345122,break the bank,nan,2,1948,nan,b6231,nan,nan,nan,1948-1957, break the bank ,100,1014, break the bank ,series, game," abc, nbc, cbs",1948,1956," players are quizzed in a category of their own choice. each correct response earns cash, which increases with the difficulty of the question. eight straight answers breaks the bank and its cash amount is awarded to the player. two misses in a row defeat the player and his funds are forfeited and added to the bank. the series aired on abc from october 22, 1948 to september 23, 1949; on nbc from october 5, 1949 to january 9, 1952; on cbs from june 3, 1952 to october 19, 1952; on /v5cfrom march 30, 1953 to september 18, 1953; on ^5cfrom january 31, 1954 to june 20, 1956. host: bert parks, clayton ""bud"" couyer. assistant: janice wolfe, janice gilbert. announcer: win elliott, johnny olsen. "
2737344,the philco television playhouse,nan,2,1948,nan,p4234,nan,nan,nan,1948-1956, the philco television playhouse ,100,6402, the philco television playhouse ,series, anthology, nbc,1948,1956," a series of quality dramas featuring both well-known and lesserknown actors and actresses. the series aired under itsown title (and under sponsorship of the equity-philco company) from october 3, 1948 to october 7, 1951. on october 21, 1951, it began alternating with the goodyear theater (until august 21, 1955). on september 4, 1955 both philco and goodyear theaters began alternating with the alcoa hour (which premiered on october 16, 1955). by february 12, 1956, the philco television playhouse had its last showing, being displaced by both alcoa and goodyear. host: bert lytell (1948-49). performers include: jane seymour, joyce van patten, patten, ralph bellamy, walter abel, bing crosby, cameron mitchell, peggy wood, lillian gish, dorothy gish, leo g. carroll, patricia kirkland, william redfield, jose ferrer, phyllis kirk, frances reid, patricia breslin, janet blake, mary mccord, anthony quinn, jean carson, claire luce, e.g. marshall, john newland, alfred ryder, eli wallach, leora dana, lili palmer, cara williams, burgess meredith, margaret hayes, leslie nielsen, barbara joyce, john ireland, cloris leachman, walter matthau, audra lindley, rod steiger, nancy marchand, constance ford, john forsythe, eva marie saint. "
41569,a couple of joes,nan,2,1949,nan,c1412,nan,nan,nan,1949-1950, a couple of joes ,100,1702, a couple of joes ,series, variety, abc,1949,1950," a series of music, songs and comedy sketches hosted by two men named joe. the series ran from august 5, 1949 to july 12, 1950. richard gordon and alan kent are the producers. hosts: joe rosenfeld, joe bushkin. regulars: joan barton, beryl richard, allyn edwards, pat harrington, jr., warren hull, morgan the wonder dog. announcer: tom shirley. music: mike reilly, milton delugg. "
257015,battle of the ages,nan,2,1952,nan,b3413,nan,nan,nan,1952-????, battle of the ages ,100,616, battle of the ages ,series, game," dumont, cbs",1952,nan," two talent teams compete: the show business veterans vs. the youngsters (new comers to show business). the teams compete in a series of talent contests designed to determine the better of the two. winners, who are determined by off-stage judges, receive cash prizes. the series ran on dumont from january 1, 1952 to june 17, 1952; on cbs from september 6, 1952 to november 29, 1952. host: john reed king (dumont), morey amsterdam (cbs). announcer: norman brokenshire, arthur van horn. "
317603,blind date,nan,2,1949,nan,b453,nan,nan,nan,1949-1953, blind date ,100,868, blind date ,series, game," abc, nbc, dumont",1949,1953," six men, representing two universities, and three women, leading manhattanmodels, compete. two men are seated on one side of a wall and one female on the other. the males, the hunters, telephone a girl, the hunted, and attempt to talk her into accepting a date with him. on the basis of voice and specially prepared questions, she chooses the most impressive one. the couple receives an all expenses paid romantic evening, including an invitation to the stork club. three such rounds are played per broadcast. the series ran on from abc may 5, 1949 to september 20, 1951; on nbc from june 7, 1952 to july  19, 1952; and on dumont (as your big moment) from june 9, 1953 to september 15, 1953. with some slight changes in format, it became the basis for the dating game in the 1960s. hostess: arlene francis. host: melvyn douglas, jan murray. announcer: walter herlihy, rex marshall. orchestra: glenn osser, ray bloch. "
1173353,home,nan,2,1954,nan,h5,nan,nan,nan,1954-1957, home ,100,3655, home ,series, women, nbc,1954,1957," a daily program of information geared to the female members of the audience that is presented in a series of segments corresponding to a magazine. cast: arlene francis {host, leisure activities editor and shopping guide expert), ]une lockhart {substitute hostess), eve hunter {women's interest. fash-ion and beauty editor), sydney smith {decorating editor), poppy cannon (food editor), will peiglebeck ifix-it-shop/home gardening editor), rose frangblau {children's problem editor), estelle parsons {special projects editor), johnny johnston {vocalist), the norman paris trio {music editors). announcer: hugh downs. "
301087,big town,nan,2,1950,nan,b235,nan,nan,nan,1950-1956, big town ,100,801, big town ,series, crime drama," cbs, nbc",1950,1956," the series, set in big town, u.s.a., relates the story-gathering assignments of steve wilson and lorelei kilbourne, reporters for the illustrated press. although steve is the intrepid crime reporter and lorelei the society reporter, both often become involved in the same story as society and scandal (and murder) often walk hand-in-hand. the episodes from 1950 to 1954 portray steve wilson as the ex-managing editor of the paper, a man who observes people and their problems. for the duration of the series, 1954-1956, steve is returned to the position of managing editor and becomes actively involved in investigations. the series, based on the radio program of the same title, ran on cbs from october 5, 1950 to september 16, 1954 and on nbc from october 11, 1954 to october 2, 1956. the series has also been syndicated under the following titles: by line _êî steve wilson, city assignment, crime reporter, headline story and heart of the city. other regulars: diane walker, steve's girlfriend (1955-1956); charlie anderson, the city editor; and lieutenant tom gregory of the big town police department. cast: patrick mcvey (steve wilson; 1950-1954), mark stevens (steve wilson; 1954-1956), margaret hayes (lorelei kilbourne; 1950-1951), mary k. wells (lorelei kilbourne; 1951), jane nigh (lorelei kilbourne; 1951-1953), beverly tyler (lorelei kilbourne;  1953), trudy wroe (lorelei kilbourne; 1954), julie stevens (lorelei kilbourne; 1954-1955), doeaverdon (lorelei kilbourne; 1955-1956), barry kelly (charlie anderson), john doucette (lt. tom gregory). "
2374490,stage 13,nan,2,1950,nan,s32,nan,nan,nan,1950-????, stage 13 ,100,7729, stage 13 ,series, anthology, cbs,1950,nan," mystery and suspense stories, broadcast from new york city, that are built around the number 13. the series ran from may 3, 1950 to june 28, 1950 and produced 7 episodes. performers include: leslie nielsen, barbara bolton, j. pat o'malley, richard macmurray, emily barnes, robert gallagher, alice reinhart, vinton hayworth, daniel morgan, kathleen cordell, donald briggs. "
