,id,title,kind_id,production_year,phonetic_code,series_years,md5sum,id.1,movie_id,company_id,company_type_id,note,id.2,name,country_code,name_pcode_nf,name_pcode_sf,md5sum.1
0,10924,1948 world series,2,1948,w6432,1948-????,369f2c5308bfdda965e8ac9f43fb6966,3076,10924,66,1,(1948) (usa) (tv),66,columbia broadcasting system (cbs),[us],c4516,c4516,7ae3ee174d2d4b06fc3d2ba6d7dc2fab
1,63168,abe burrows' almanac,2,1950,a1624,1950-????,73511f5cea12328331c9f3cfdca47334,15574,63168,66,1,nan,66,columbia broadcasting system (cbs),[us],c4516,c4516,7ae3ee174d2d4b06fc3d2ba6d7dc2fab
2,73174,action in the afternoon,2,1953,a2353,1953-????,7f69e95080d2d8e28d20f13d0ecf1f65,17407,73174,66,1,(1953) (usa) (tv) (original airing),66,columbia broadcasting system (cbs),[us],c4516,c4516,7ae3ee174d2d4b06fc3d2ba6d7dc2fab
3,73584,actor's studio,2,1948,a2362,1948-1950,09d66a0785678d200f33381e1a9db078,17507,73584,66,1,(1949-1950) (usa) (tv),66,columbia broadcasting system (cbs),[us],c4516,c4516,7ae3ee174d2d4b06fc3d2ba6d7dc2fab
34,78738,adventure showcase,2,1959,a3153,1959-????,cedfa222a39b180f357804d025fc0a8c,18489,78738,66,1,(1959) (usa) (tv),66,columbia broadcasting system (cbs),[us],c4516,c4516,7ae3ee174d2d4b06fc3d2ba6d7dc2fab
36,79346,adventures in jazz,2,1949,a3153,1949-????,d42ab20f79876cfe48b3cc71bda872c3,18754,79346,66,1,(1949) (usa) (tv),66,columbia broadcasting system (cbs),[us],c4516,c4516,7ae3ee174d2d4b06fc3d2ba6d7dc2fab
37,80134,adventures of wild bill hickok,2,1951,a3153,1951-1958,fde05a8ca4e780263489033614ae4c4c,18905,80134,66,1,(1951) (usa) (tv) (original airing),66,columbia broadcasting system (cbs),[us],c4516,c4516,7ae3ee174d2d4b06fc3d2ba6d7dc2fab
77,91087,air power,2,1956,a616,1956-1958,11aa9136a6caf0118a531270533aa991,21301,91087,66,1,(1956-1957) (usa) (tv),66,columbia broadcasting system (cbs),[us],c4516,c4516,7ae3ee174d2d4b06fc3d2ba6d7dc2fab
104,100501,alfred hitchcock presents,2,1955,a4163,1955-1962,62b186f9bb1aae220099ac309451e22a,23540,100501,66,1,(1955-1960) (usa) (tv) (original airing),66,columbia broadcasting system (cbs),[us],c4516,c4516,7ae3ee174d2d4b06fc3d2ba6d7dc2fab
272,103752,alkali ike,2,1950,a4242,1950-????,e7232bda5cb968a31bcc191a78739643,25436,103752,66,1,(original airing),66,columbia broadcasting system (cbs),[us],c4516,c4516,7ae3ee174d2d4b06fc3d2ba6d7dc2fab
273,104236,all around the town,2,1951,a4653,1951-1952,7e6ff4369729cfb048817ac812bc1d71,25495,104236,66,1,(1951-1952) (usa) (tv) (original airing),66,columbia broadcasting system (cbs),[us],c4516,c4516,7ae3ee174d2d4b06fc3d2ba6d7dc2fab
274,129763,america speaks,2,1948,a5621,1948-????,e593b2388b8ea36c7ae0523cc902f7d8,29656,129763,66,1,(tv),66,columbia broadcasting system (cbs),[us],c4516,c4516,7ae3ee174d2d4b06fc3d2ba6d7dc2fab
275,180621,appointment with adventure,2,1955,a1535,1955-1956,14b5aeeb5fb50cf6557be8aaf8e1f8d6,39476,180621,66,1,(1955-1956) (usa) (tv),66,columbia broadcasting system (cbs),[us],c4516,c4516,7ae3ee174d2d4b06fc3d2ba6d7dc2fab
329,190323,armstrong circle theatre,2,1950,a6523,1950-1963,bb4467b8e4dcbff406ec03e312e67562,41889,190323,66,1,(1957-1963),66,columbia broadcasting system (cbs),[us],c4516,c4516,7ae3ee174d2d4b06fc3d2ba6d7dc2fab
372,194352,arthur godfrey time,2,1952,a6362,1952-????,1d04b767b259cd2e440e6bfbc39bf405,44220,194352,66,1,(1952) (usa) (tv) (original airing),66,columbia broadcasting system (cbs),[us],c4516,c4516,7ae3ee174d2d4b06fc3d2ba6d7dc2fab
373,194339,arthur godfrey and his friends,2,1949,a6362,1949-1959,5223b81f7d5535ea1e1c3e0da6495193,44222,194339,66,1,(1949-1957) (usa) (tv) (original airing),66,columbia broadcasting system (cbs),[us],c4516,c4516,7ae3ee174d2d4b06fc3d2ba6d7dc2fab
381,194351,arthur godfrey and his ukulele,2,1950,a6362,1950-????,5208bad17987564e99247da73e278b03,44231,194351,66,1,(tv),66,columbia broadcasting system (cbs),[us],c4516,c4516,7ae3ee174d2d4b06fc3d2ba6d7dc2fab
382,197046,as the world turns,2,1956,a2364,1956-2010,67ec44eed61f6a322b7365f672db99a1,44911,197046,66,1,(1965-2010) (usa) (tv),66,columbia broadcasting system (cbs),[us],c4516,c4516,7ae3ee174d2d4b06fc3d2ba6d7dc2fab
386,205039,assignment foreign legion,2,1956,a2531,1956-????,bdef0baabb437f380e215734e8e0696a,47755,205039,66,1,(1957) (usa) (tv),66,columbia broadcasting system (cbs),[us],c4516,c4516,7ae3ee174d2d4b06fc3d2ba6d7dc2fab
400,230956,bachelor father,2,1957,b2461,1957-1962,38b64c843bb4de261680678b31d51bb3,52576,230956,66,1,(1957-1959),66,columbia broadcasting system (cbs),[us],c4516,c4516,7ae3ee174d2d4b06fc3d2ba6d7dc2fab
441,232227,backstage with barry wood,2,1949,b2323,1949-????,a3a6e5de5f59fd725d7c2c1cb0708d18,53358,232227,66,1,(tv),66,columbia broadcasting system (cbs),[us],c4516,c4516,7ae3ee174d2d4b06fc3d2ba6d7dc2fab
442,239341,balance your budget,2,1952,b4526,1952-1953,44c257ec75d78b3dcc9cdb141c2a5e6d,54037,239341,66,1,(1952-1953) (usa) (tv),66,columbia broadcasting system (cbs),[us],c4516,c4516,7ae3ee174d2d4b06fc3d2ba6d7dc2fab
443,247404,bank on the stars,2,1953,b5253,1953-1954,bdd2f3ad08804392e0b273c1f4e023d5,54709,247404,66,1,(1953) (usa) (tv),66,columbia broadcasting system (cbs),[us],c4516,c4516,7ae3ee174d2d4b06fc3d2ba6d7dc2fab
445,257015,battle of the ages,2,1952,b3413,1952-????,db4306072dd4473a058809c01c8b94bc,58570,257015,66,1,(1952) (usa) (tv),66,columbia broadcasting system (cbs),[us],c4516,c4516,7ae3ee174d2d4b06fc3d2ba6d7dc2fab
446,266116,beat the clock,2,1950,b3242,1950-1961,1042d8802bfdecdef4181356e6bef2b1,60205,266116,66,1,(1950-1958) (usa) (tv) (original airing),66,columbia broadcasting system (cbs),[us],c4516,c4516,7ae3ee174d2d4b06fc3d2ba6d7dc2fab
457,291599,"biff baker, u.s.a.",2,1952,b1262,1952-1954,77a40492ca1f6b2bdef4f869aa4ae05c,66354,291599,66,1,(1952-1953) (usa) (tv) (original airing),66,columbia broadcasting system (cbs),[us],c4516,c4516,7ae3ee174d2d4b06fc3d2ba6d7dc2fab
484,301078,big top,2,1950,b231,1950-1957,8b0fbf8d6ed764c53d3b583a76ee55e4,67757,301078,66,1,nan,66,columbia broadcasting system (cbs),[us],c4516,c4516,7ae3ee174d2d4b06fc3d2ba6d7dc2fab
485,301087,big town,2,1950,b235,1950-1956,6fef7de169659c281f173ea5c518008c,67761,301087,66,1,(1950-1954) (usa) (tv) (original airing),66,columbia broadcasting system (cbs),[us],c4516,c4516,7ae3ee174d2d4b06fc3d2ba6d7dc2fab
655,304078,billy boone and cousin kib,2,1950,b4153,1950-????,37b82a88c2d67fd2b0f3fd508ba8b4fe,68300,304078,66,1,(original airing),66,columbia broadcasting system (cbs),[us],c4516,c4516,7ae3ee174d2d4b06fc3d2ba6d7dc2fab
656,324804,blues by bargy,2,1949,b4216,1949-1950,a4b5d46b151cbee991c93060fdd7e141,74286,324804,66,1,(1949-1950) (usa) (tv),66,columbia broadcasting system (cbs),[us],c4516,c4516,7ae3ee174d2d4b06fc3d2ba6d7dc2fab
657,344414,brave eagle,2,1955,b6124,1955-1956,32a3723c72afa8a63d8dc9a0ecdb80dd,81750,344414,66,1,(1955-1956) (usa) (tv) (original airing),66,columbia broadcasting system (cbs),[us],c4516,c4516,7ae3ee174d2d4b06fc3d2ba6d7dc2fab
684,345122,break the bank,2,1948,b6231,1948-1957,a4ba7633622231565ecbab884f6bfacb,81921,345122,66,1,(1952-1953) (tv),66,columbia broadcasting system (cbs),[us],c4516,c4516,7ae3ee174d2d4b06fc3d2ba6d7dc2fab
685,349508,brenner,2,1959,b656,1959-????,1e27c47361d22deb71715308bf26efd9,83487,349508,66,1,(1959) (usa) (tv),66,columbia broadcasting system (cbs),[us],c4516,c4516,7ae3ee174d2d4b06fc3d2ba6d7dc2fab
700,350316,bride and groom,2,1951,b6353,1951-????,f713b52621561e7676b1bff913ae689f,83703,350316,66,1,(1951-1953) (usa) (tv),66,columbia broadcasting system (cbs),[us],c4516,c4516,7ae3ee174d2d4b06fc3d2ba6d7dc2fab
701,365519,buick-electra playhouse,2,1959,b2423,1959-1960,4d0c7b0d89589008630923b006ed0cc7,88519,365519,66,1,(1959) (usa) (tv),66,columbia broadcasting system (cbs),[us],c4516,c4516,7ae3ee174d2d4b06fc3d2ba6d7dc2fab
702,373484,by popular demand,2,1950,b1463,1950-????,b7d1fc4d18f4de8ec298d60bf4a9bccf,90424,373484,66,1,(1950) (usa) (tv) (original airing),66,columbia broadcasting system (cbs),[us],c4516,c4516,7ae3ee174d2d4b06fc3d2ba6d7dc2fab
703,421024,cbs cartoon theatre,2,1956,c1263,1956-????,eb765cfd2eb6772cd7fb3218792cb800,90932,421024,66,1,(1956) (usa) (tv),66,columbia broadcasting system (cbs),[us],c4516,c4516,7ae3ee174d2d4b06fc3d2ba6d7dc2fab
704,422512,cbs reports,2,1959,c1261,1959-????,c35b1dad30c176141e095afec651c718,91136,422512,66,1,(1959) (usa) (tv) (original airing),66,columbia broadcasting system (cbs),[us],c4516,c4516,7ae3ee174d2d4b06fc3d2ba6d7dc2fab
707,422834,cbs television news,2,1948,c1234,1948-1962,407032a86fff320d641ff62a671b9649,91367,422834,66,1,(1948) (usa) (tv),66,columbia broadcasting system (cbs),[us],c4516,c4516,7ae3ee174d2d4b06fc3d2ba6d7dc2fab
708,422835,cbs television quiz,2,1941,c1234,1941-1942,98431bbb7d59d92f9ed1d1e2161f0b0a,91369,422835,66,1,(1941-1942) (usa) (tv) (original airing),66,columbia broadcasting system (cbs),[us],c4516,c4516,7ae3ee174d2d4b06fc3d2ba6d7dc2fab
709,422836,cbs television workshop,2,1952,c1234,1952-????,6032553daf1ef19f0f38e1febf88d9f1,91370,422836,66,1,(1952) (usa) (tv) (original airing),66,columbia broadcasting system (cbs),[us],c4516,c4516,7ae3ee174d2d4b06fc3d2ba6d7dc2fab
724,389379,camel comedy caravan,2,1950,c5425,1950-????,9dc59f0e60b61d16483735f13a6eb4dc,97219,389379,66,1,(1950) (usa) (tv),66,columbia broadcasting system (cbs),[us],c4516,c4516,7ae3ee174d2d4b06fc3d2ba6d7dc2fab
725,391310,camera three,2,1955,c5636,1955-1979,fc9e143d1e480f9ad82d240256d804b8,97309,391310,66,1,(22 january 1956 - 21 january 1979),66,columbia broadcasting system (cbs),[us],c4516,c4516,7ae3ee174d2d4b06fc3d2ba6d7dc2fab
754,393878,campus corner,2,1949,c5126,1949-????,70e9265cdd11506e17fd8f5ee605ee54,97753,393878,66,1,(tv),66,columbia broadcasting system (cbs),[us],c4516,c4516,7ae3ee174d2d4b06fc3d2ba6d7dc2fab
