id,title,imdb_index,kind_id,production_year,imdb_id,phonetic_code,episode_of_id,season_nr,episode_nr,series_years
10924,1948 World Series,,2,1948,,W6432,,,,1948-????
63168,Abe Burrows' Almanac,,2,1950,,A1624,,,,1950-????
73174,Action in the Afternoon,,2,1953,,A2353,,,,1953-????
73584,Actor's Studio,,2,1948,,A2362,,,,1948-1950
73585,A Child Is Born,,7,1949,,C4321,73584,2,13,
73589,Alison's House,,7,1950,,A4252,73584,2,27,
73590,An Ingenue of the Sierras,,7,1950,,I5251,73584,2,16,
73591,Clarissa,,7,1949,,C462,73584,2,5,
73593,Country Full of Swedes,,7,1949,,C5361,73584,2,14,
73599,Hannah,,7,1950,,H5,73584,2,15,
73603,It's a Free Country,,7,1949,,I3216,73584,2,3,
73606,Joe McSween's Atomic Machine,,7,1950,,J5252,73584,2,19,
73607,Mr. Mummery's Suspicion,,7,1950,,M6562,73584,2,21,
73609,O'Halloran's Luck,,7,1949,,O4652,73584,2,7,
73613,Sanctuary in Paris,,7,1950,,S5236,73584,2,25,
73614,Screwball,,7,1950,,S2614,73584,2,26,
73617,"Telas, the King",,7,1950,,T4232,73584,2,20,
73619,Terror in the Streets,,7,1949,,T6532,73584,2,2,
73620,The Apple Tree,,7,1950,,A1436,73584,2,22,
73621,The Canterville Ghost,,7,1949,,C5361,73584,2,1,
73623,The Frame-Up,,7,1949,,F651,73584,2,8,
73625,The Good Companions,,7,1950,,G3251,73584,2,30,
73629,The Little Wife,,7,1950,,L341,73584,2,17,
73631,The Man with the Heart in the Highlands,,7,1949,,M5363,73584,2,11,
73632,The Midway,,7,1949,,M3,73584,2,12,
73634,The Pink Hussar,,7,1950,,P526,73584,2,23,
73635,The Return to Kansas City,,7,1949,,R3653,73584,2,6,
73636,The Salt of the Earth,,7,1950,,S4313,73584,2,24,
73637,The Swan,,7,1950,,S5,73584,2,29,
73640,The Thousand Dollar Bill (restaged),,7,1949,,T2534,73584,2,10,
73641,The Three Strangers,,7,1949,,T6236,73584,2,9,
73642,The Timid Guy,,7,1950,,T532,73584,2,18,
73643,The Token,,7,1950,,T25,73584,2,28,
73647,We'll Never Have a Nickel,,7,1949,,W4516,73584,2,4,
78738,Adventure Showcase,,2,1959,,A3153,,,,1959-????
78741,Johnny Nighthawk,,7,1959,,J5232,78738,1,4,
79346,Adventures in Jazz,,2,1949,,A3153,,,,1949-????
80134,Adventures of Wild Bill Hickok,,2,1951,,A3153,,,,1951-1958
80137,Ambush,,7,1955,,A512,80134,6,9,
80138,Battle Line,,7,1955,,B345,80134,6,8,
80141,Blake's Kid,,7,1955,,B423,80134,6,6,
80142,Blind Alley,,7,1956,,B4534,80134,7,2,
80145,Buckshot Comes Home,,7,1955,,B2325,80134,6,2,
80148,Clem's Reformation,,7,1958,,C4526,80134,8,8,
80149,Counterfeit Ghost,,7,1958,,C5361,80134,8,13,
80153,Ghost Town Lady,,7,1955,,G2354,80134,6,11,
80156,Halley's Comet,,7,1956,,H4253,80134,7,1,
80164,Jingles Gets the Bird,,7,1956,,J5242,80134,7,6,
80166,Jingles Wins a Friend,,7,1956,,J5242,80134,7,11,
80165,Jingles on the Jailroad,,7,1958,,J5242,80134,8,9,
80172,Marvin's Mix-Up,,7,1958,,M6152,80134,8,1,
80176,Meteor Mesa,,7,1958,,M3652,80134,8,5,
80179,Monkeyshines,,7,1958,,M5252,80134,8,3,
80181,Old Cowboys Never Die,,7,1955,,O4321,80134,6,5,
80183,Outlaw's Portrait,,7,1955,,O3421,80134,6,1,
80188,Return of Chief Red Hawk,,7,1955,,R3651,80134,6,13,
80193,Spurs for Johnny,,7,1958,,S1621,80134,8,2,
80197,The Angel of Cedar Mountain,,7,1958,,A5241,80134,8,11,
80199,The Bold Raven Rodeo,,7,1956,,B4361,80134,7,8,
80202,The Daughter of Casey O'Grady,,7,1958,,D2361,80134,8,10,
80206,The Gatling Gun,,7,1956,,G3452,80134,7,12,
80207,The Golden Rainbow,,7,1955,,G4356,80134,6,4,
80208,The Good Indian,,7,1958,,G3535,80134,8,12,
80210,The Great Obstacle Race,,7,1956,,G6312,80134,7,3,
80211,The Hideout,,7,1955,,H3,80134,6,10,
80213,The Iron Major,,7,1956,,I6526,80134,7,10,
80214,The Kangaroo Kaper,,7,1956,,K5262,80134,7,4,
80218,The Missing Diamonds,,7,1956,,M2523,80134,7,5,
80220,The Mountain Men,,7,1955,,M535,80134,6,12,
80221,The Music Teacher,,7,1955,,M2326,80134,6,3,
80225,The Rainmaker,,7,1956,,R526,80134,7,9,
80228,The Runaway Wizard,,7,1958,,R5263,80134,8,4,
80229,The Sheriff of Buckeye,,7,1958,,S612,80134,8,7,
80234,The Steam Wagon,,7,1956,,S3525,80134,7,13,
80240,Town Without Law,,7,1958,,T534,80134,8,6,
80241,Treasure Trail,,7,1955,,T6263,80134,6,7,
80244,Wild Bill's Odyssey,,7,1956,,W4314,80134,7,7,
91087,Air Power,,2,1956,,A616,,,,1956-1958
91088,1930s,,7,1956,,S,91087,1,8,
91089,Advance the Bomber Line,,7,1957,,A3152,91087,1,16,
91090,Battle of Britain,,7,1956,,B3416,91087,1,5,
91091,Conquest of the Air,,7,1957,,C5231,91087,1,11,
91092,Counterblast,,7,1956,,C5361,91087,1,6,
91093,Defeat of Japan,,7,1957,,D1312,91087,1,21,
91094,"Fools, Daredevils, and Geniuses",,7,1956,,F4236,91087,1,7,
91095,Interdiction and Blockade,,7,1957,,I5363,91087,1,13,
91096,Kamikaze,,7,1957,,K52,91087,1,20,
91097,Operation Strangle,,7,1957,,O1635,91087,1,14,
91098,Pacific Pattern,,7,1957,,P2121,91087,1,15,
91099,Pearl Harbor,,7,1956,,P6461,91087,1,4,
91100,Schweinfurt,,7,1957,,S2516,91087,1,10,
91101,Starfighter,,7,1957,,S3612,91087,1,25,
91102,Superfort,,7,1957,,S1616,91087,1,18,
91103,Target Ploesti,,7,1957,,T6231,91087,1,9,
91104,The Cold Decade: Airlift,,7,1957,,C4323,91087,1,22,
91105,The Cold Decade: Korean Stalemate,,7,1957,,C4323,91087,1,24,
91106,The Cold Decade: To the Yalu,,7,1957,,C4323,91087,1,23,
91107,The Day North America Is Attacked,,7,1956,,D5635,91087,1,1,
91108,The Early Days,,7,1956,,E6432,91087,1,2,
91109,The Japanese Perimeter,,7,1957,,J1521,91087,1,12,
91110,The Luftwaffe,,7,1956,,L131,91087,1,3,
91111,The New Doctrine,,7,1957,,N3236,91087,1,26,
91112,The Winning of France,,7,1957,,W5216,91087,1,17,
91113,Victory in Europe,,7,1957,,V2365,91087,1,19,
100501,Alfred Hitchcock Presents,,2,1955,,A4163,,,,1955-1962
100502,A Bottle of Wine,,7,1957,,B3415,100501,2,19,
100503,A Bullet for Baldwin,,7,1956,,B4316,100501,1,14,
100506,A Little Sleep,,7,1957,,L3424,100501,2,38,
100507,A Man Greatly Beloved,,7,1957,,M5263,100501,2,33,
100508,A Night with the Boys,,7,1959,,N2312,100501,4,30,
100509,A Personal Matter,,7,1959,,P6254,100501,4,15,
100511,A True Account,,7,1959,,T6253,100501,4,34,
100516,Alibi Me,,7,1956,,A415,100501,2,7,
100518,An Occurrence at Owl Creek Bridge,,7,1959,,O2652,100501,5,13,
100519,And So Died Riabouchinska,,7,1956,,A5323,100501,1,20,
100520,And the Desert Shall Blossom,,7,1958,,A5326,100501,4,11,
100521,Anniversary Gift,,7,1959,,A5162,100501,5,6,
100523,Appointment at Eleven,,7,1959,,A1535,100501,5,3,
100524,Arthur,,7,1959,,A636,100501,5,1,
100525,Back for Christmas,,7,1956,,B2162,100501,1,23,
100529,Banquo's Chair,,7,1959,,B526,100501,4,29,
100531,Breakdown,,7,1955,,B6235,100501,1,7,
100532,Bull in a China Shop,,7,1958,,B4525,100501,3,26,
100535,Cheap Is Cheap,,7,1959,,C121,100501,4,26,
100538,Conversation Over a Corpse,,7,1956,,C5162,100501,2,8,
100540,Coyote Moon,,7,1959,,C35,100501,5,4,
100541,Crack of Doom,,7,1956,,C6213,100501,2,9,
100542,Crackpot,,7,1957,,C6213,100501,2,15,
100544,De Mortuis,,7,1956,,M632,100501,2,3,
100545,Dead Weight,,7,1959,,D323,100501,5,9,
100546,Death Sentence,,7,1958,,D3253,100501,3,30,
100548,Decoy,,7,1956,,D2,100501,1,37,
100549,Design for Loving,,7,1958,,D2516,100501,4,6,
100550,Dip in the Pool,,7,1958,,D1531,100501,3,35,
100551,Disappearing Trick,,7,1958,,D2165,100501,3,27,
100552,Don't Come Back Alive,,7,1955,,D5325,100501,1,4,
100553,Don't Interrupt,,7,1958,,D5353,100501,4,2,
100554,Dry Run,,7,1959,,D65,100501,5,7,
100555,Enough Rope for Two,,7,1957,,E5261,100501,3,7,
100557,Fatal Figures,,7,1958,,F3412,100501,3,29,
100558,Father and Son,,7,1957,,F3653,100501,2,36,
100561,Flight to the East,,7,1958,,F4232,100501,3,25,
100562,Fog Closing In,,7,1956,,F2425,100501,2,2,
100564,Graduating Class,,7,1959,,G6352,100501,5,14,
